Altitude (m),Thrust (N),Drag (N),Gravity (N)
1497.1237029649087,[82618.81774891  -551.41582584],[-17636.85571627    117.71218259],[     0. -24525.]
1496.5142745123096,[82620.92117275  -657.22344876],[-17758.58225775    141.26393788],[     0. -24525.]
1495.804682221667,[82623.36540941  -762.68253304],[-17880.75399051    165.05426375],[     0. -24525.]
1494.9945994179473,[82626.15337506  -867.7974372 ],[-18003.37382596    189.08397679],[     0. -24525.]
1494.0837017603858,[82629.28796095  -972.57248916],[-18126.44471243    213.35390742],[     0. -24525.]
1493.0716672284975,[82632.77203389 -1077.01198674],[-18249.96963511    237.86489998],[     0. -24525.]
1491.958176108262,[82636.60843674 -1181.12019807],[-18373.95161601    262.61781289],[     0. -24525.]
1490.742910978486,[82640.79998889 -1284.90136201],[-18498.39371387    287.61351876],[     0. -24525.]
1489.4255566973368,[82645.34948674 -1388.3596886 ],[-18623.29902413    312.85290454],[     0. -24525.]
1488.0058003890515,[82650.25970414 -1491.49935941],[-18748.67067883    338.33687162],[     0. -24525.]
1486.483331430815,[82655.53339288 -1594.32452801],[-18874.51184661    364.06633599],[     0. -24525.]
1484.8578414398105,[82661.17328314 -1696.83932035],[-19000.82573261    390.04222831],[     0. -24525.]
1483.1290242604377,[82667.18208388 -1799.04783513],[-19127.61557843    416.26549412],[     0. -24525.]
1481.2965759517008,[82673.56248335 -1900.95414424],[-19254.88466211    442.73709389],[     0. -24525.]
1479.3601947747625,[82680.31714948 -2002.56229309],[-19382.63629801    469.45800318],[     0. -24525.]
1477.3195811806645,[82687.4487303  -2103.87630104],[-19510.87383684    496.42921276],[     0. -24525.]
1475.1744377982134,[82694.95985437 -2204.90016173],[-19639.60066556    523.65172872],[     0. -24525.]
1472.9244694220301,[82702.85313118 -2305.63784349],[-19768.82020735    551.12657261],[     0. -24525.]
1470.5693830007635,[82711.13115157 -2406.09328965],[-19898.53592156    578.85478155],[     0. -24525.]
1468.1088876254646,[82719.7964881  -2506.27041898],[-20028.75130368    606.83740837],[     0. -24525.]
1465.5426945181232,[82728.85169547 -2606.17312595],[-20159.46988527    635.07552168],[     0. -24525.]
1462.8705170203646,[82738.2993109  -2705.80528116],[-20290.69523397    663.57020606],[     0. -24525.]
1460.0920705823055,[82748.14185448 -2805.17073162],[-20422.43095339    692.32256212],[     0. -24525.]
1457.2070727515686,[82758.38182959 -2904.27330116],[-20554.68068314    721.33370665],[     0. -24525.]
1454.2152431624536,[82769.02172323 -3003.11679069],[-20687.44809873    750.60477276],[     0. -24525.]
1451.1163035252669,[82780.06400642 -3101.70497858],[-20820.73691159    780.13690991],[     0. -24525.]
1447.9099776158055,[82791.5111345  -3200.04162099],[-20954.55086899    809.93128415],[     0. -24525.]
1444.5959912649967,[82803.36554754 -3298.13045217],[-21088.89375404    839.98907814],[     0. -24525.]
1441.1740723486917,[82815.62967068 -3395.97518477],[-21223.76938564    870.31149129],[     0. -24525.]
1437.6439507776129,[82828.30591443 -3493.5795102 ],[-21359.18161842    900.89973993],[     0. -24525.]
1434.005358487453,[82841.39667504 -3590.9470989 ],[-21495.13434279    931.75505734],[     0. -24525.]
1430.2580294291267,[82854.90433484 -3688.08160066],[-21631.63148482    962.87869393],[     0. -24525.]
1426.4016995591735,[82868.83126253 -3784.98664493],[-21768.67700625    994.27191733],[     0. -24525.]
