Time (s),Altitude (m),Thrust (N),Drag (N),Gravity (N)
206,80220.79800709407,[0. 0.],[-2.61698026  1.09105657],[     0. -14715.]
207,79828.7825726272,[0. 0.],[-2.75101926  1.17637765],[     0. -14715.]
208,79426.9579224121,[0. 0.],[-2.89545597  1.26912493],[     0. -14715.]
209,79015.32411828029,[0. 0.],[-3.05119291  1.37003748],[     0. -14715.]
210,78593.8812275068,[0. 0.],[-3.21922219  1.47993417],[     0. -14715.]
211,78162.6293233561,[0. 0.],[-3.40063517  1.59972303],[     0. -14715.]
212,77721.56848568741,[0. 0.],[-3.59663327  1.73041177],[     0. -14715.]
213,77270.69880162657,[0. 0.],[-3.80854003  1.87311956],[     0. -14715.]
214,76810.0203663121,[0. 0.],[-4.03781459  2.02909041],[     0. -14715.]
215,76339.53328372458,[0. 0.],[-4.28606679  2.19970811],[     0. -14715.]
216,75859.23766760912,[0. 0.],[-4.55507412  2.38651321],[     0. -14715.]
217,75369.13364250248,[0. 0.],[-4.84680066  2.59122209],[     0. -14715.]
218,74869.22134487722,[0. 0.],[-5.16341833  2.81574858],[     0. -14715.]
219,74359.50092441769,[0. 0.],[-5.50733083  3.06222833],[     0. -14715.]
220,73839.97254544371,[0. 0.],[-5.88120042  3.33304645],[     0. -14715.]
221,73310.6363885007,[0. 0.],[-6.28797811  3.63086875],[     0. -14715.]
222,72771.49265213686,[0. 0.],[-6.7309376   3.95867714],[     0. -14715.]
223,72222.54155489111,[0. 0.],[-7.2137135   4.31980983],[     0. -14715.]
224,71663.78333751857,[0. 0.],[-7.7403444   4.71800684],[     0. -14715.]
225,71095.21826548394,[0. 0.],[-8.31532143  5.15746183],[     0. -14715.]
226,70516.84663175719,[0. 0.],[-8.94364313  5.6428808 ],[     0. -14715.]
227,69928.66875995098,[0. 0.],[-9.63087731  6.17954909],[     0. -14715.]
228,69330.68500784415,[0. 0.],[-10.38323109   6.77340744],[     0. -14715.]
229,68722.89577134229,[0. 0.],[-11.20763004   7.43113871],[     0. -14715.]
230,68105.30148893289,[0. 0.],[-12.1118079    8.16026678],[     0. -14715.]
231,67477.90264670135,[0. 0.],[-13.10440806   8.96926928],[     0. -14715.]
232,66840.69978398267,[0. 0.],[-14.19509877   9.86770637],[     0. -14715.]
233,66193.69349973489,[0. 0.],[-15.39470386  10.86636784],[     0. -14715.]
234,65536.88445973235,[0. 0.],[-16.7153511   11.97744132],[     0. -14715.]
235,64870.27340469069,[0. 0.],[-18.17064093  13.21470478],[     0. -14715.]
236,64193.861159452215,[0. 0.],[-19.77583831  14.59374692],[     0. -14715.]
237,63507.64864337835,[0. 0.],[-21.54809114  16.13221986],[     0. -14715.]
238,62811.636882117724,[0. 0.],[-23.50667904  17.85012887],[     0. -14715.]
239,62105.82702094301,[0. 0.],[-25.673297    19.77016492],[     0. -14715.]
240,61390.22033987825,[0. 0.],[-28.07237903  21.91808673],[     0. -14715.]
241,60664.81827087131,[0. 0.],[-30.73146767  24.32315991],[     0. -14715.]
242,59929.62241730431,[0. 0.],[-33.68163619  27.01866218],[     0. -14715.]
243,59184.63457617876,[0. 0.],[-36.95797145  30.0424649 ],[     0. -14715.]
244,58429.85676336315,[0. 0.],[-40.60012642  33.43770324],[     0. -14715.]
245,57665.29124234969,[0. 0.],[-44.65295291  37.2535486 ],[     0. -14715.]
246,56890.9405570353,[0. 0.],[-49.16722674  41.54609999],[     0. -14715.]
247,56106.8075691209,[0. 0.],[-54.20047933  46.37941309],[     0. -14715.]
248,55312.89550081523,[0. 0.],[-59.81795209  51.82668921],[     0. -14715.]
249,54509.20798363571,[0. 0.],[-66.09369238  57.97164986],[     0. -14715.]
250,53695.74911422275,[0. 0.],[-73.11181298  64.91012714],[     0. -14715.]
251,52872.52351822789,[0. 0.],[-80.96794022  72.75190466],[     0. -14715.]
252,52039.5364235028,[0. 0.],[-89.77088023  81.62285016],[     0. -14715.]
253,51196.79374401116,[0. 0.],[-99.64453699  91.66738717],[     0. -14715.]
254,50344.30217611095,[0. 0.],[-110.73012171  103.05136145],[     0. -14715.]
255,49482.06930911838,[0. 0.],[-123.18869876  115.96536687],[     0. -14715.]
256,48610.103752370385,[0. 0.],[-137.20412096  130.62860617],[     0. -14715.]
257,47728.41528135984,[0. 0.],[-152.98641486  147.29337469],[     0. -14715.]
258,46837.01500593242,[0. 0.],[-170.77568642  166.25026944],[     0. -14715.]
259,45935.91556401797,[0. 0.],[-190.84662813  187.8342427 ],[     0. -14715.]
260,45025.13134493197,[0. 0.],[-213.51372107  212.43163877],[     0. -14715.]
261,44104.678746938494,[0. 0.],[-239.13723935  240.48837477],[     0. -14715.]
262,43174.57647452819,[0. 0.],[-268.13018042  272.51945174],[     0. -14715.]
263,42234.845881752386,[0. 0.],[-300.96626241  309.1200119 ],[     0. -14715.]
264,41285.51136898451,[0. 0.],[-338.1891496   350.97819031],[     0. -14715.]
265,40326.60084167684,[0. 0.],[-380.42308893  398.89004708],[     0. -14715.]
266,39358.146241067225,[0. 0.],[-428.38516411  453.77690688],[     0. -14715.]
267,38380.18415839553,[0. 0.],[-482.89939908  516.70547848],[     0. -14715.]
268,37392.75654604282,[0. 0.],[-544.91296856  588.91117554],[     0. -14715.]
269,36395.91154114048,[0. 0.],[-615.51479904  671.82511186],[     0. -14715.]
270,35389.70441964604,[0. 0.],[-695.95686758  767.10529603],[     0. -14715.]
271,34374.19870168229,[0. 0.],[-787.67852493  876.67260102],[     0. -14715.]
272,33349.467432119214,[0. 0.],[-892.3341808  1002.75212776],[     0. -14715.]
273,32315.594663974643,[0. 0.],[-1011.82468704  1147.92061207],[     0. -14715.]
274,31272.677176238118,[0. 0.],[-1148.33273142  1315.16053217],[     0. -14715.]
275,30220.826462189703,[0. 0.],[-1304.36250109  1507.92154541],[     0. -14715.]
276,29160.171029171564,[0. 0.],[-1482.78377622  1730.18979855],[     0. -14715.]
277,28090.859056019122,[0. 0.],[-1686.88045248  1986.56549075],[     0. -14715.]
278,27013.061459860517,[0. 0.],[-1920.40324171  2282.34878616],[     0. -14715.]
279,25926.975429559352,[0. 0.],[-2187.62593096  2623.63372749],[     0. -14715.]
280,24832.828488409843,[0. 0.],[-2493.40405207  3017.40913308],[     0. -14715.]
281,23730.883153349056,[0. 0.],[-2843.23407573  3471.66448964],[     0. -14715.]
282,22621.442261281365,[0. 0.],[-3243.31023771  3995.49748723],[     0. -14715.]
283,21504.855034205157,[0. 0.],[-3700.57476143  4599.2179692 ],[     0. -14715.]
284,20381.52395244175,[0. 0.],[-4222.75548913  5294.44056072],[     0. -14715.]
285,19251.912497718815,[0. 0.],[-4818.38270533  6094.15496519],[     0. -14715.]
286,18116.553812972674,[0. 0.],[-5496.77418541  7012.7587646 ],[     0. -14715.]
287,16976.060300736266,[0. 0.],[-6267.9742291   8066.03246574],[     0. -14715.]
288,15831.13414347702,[0. 0.],[-7142.62873529  9271.03054989],[     0. -14715.]
289,14682.578673251035,[0. 0.],[-8131.77448075 10645.85565777],[     0. -14715.]
290,13531.310440130233,[0. 0.],[-9246.51715222 12209.27634632],[     0. -14715.]
291,12378.371724573642,[0. 0.],[-10497.57014958  13980.1431418 ],[     0. -14715.]
292,11224.943104444921,[0. 0.],[-11894.62595745  15976.55459664],[     0. -14715.]
293,10072.355520713962,[0. 0.],[-13445.53571087  18214.72726248],[     0. -14715.]
294,8922.101088491325,[0. 0.],[-15155.28268651  20707.53432245],[     0. -14715.]
295,7775.841679150323,[0. 0.],[-17024.75436737  23462.70117672],[     0. -14715.]
296,6635.414070593799,[0. 0.],[-19049.34780805  26480.68673748],[     0. -14715.]
297,5502.830253195592,[0. 0.],[-21217.4855344  29752.3396084],[     0. -14715.]
298,4380.271328869653,[0. 0.],[-23509.17295601  33256.49859635],[     0. -14715.]
299,3270.0734036079443,[0. 0.],[-25894.78791241  36957.80121371],[     0. -14715.]
300,2174.704012488709,[0. 0.],[-28334.3474702   40805.05752253],[     0. -14715.]
301,1096.7279930511577,[0. 0.],[-30777.52921902  44730.61536711],[     0. -14715.]
